"자치구별(1)","자치구별(2)",구분별(1),구분별(2),구분별(3),2019
"서울시","소계",사업체수 (개),소계,소계,775390
"서울시","소계",사업체수 (개),소상공인,소계,637437
"서울시","소계",사업체수 (개),중소기업,소계,773637
"서울시","소계",사업체수 (개),중소기업,소기업,738815
"서울시","소계",사업체수 (개),중소기업,중기업,34822
"서울시","소계",사업체수 (개),중소기업범위초과,소계,1753
"서울시","소계",종사자수 (명),소계,소계,4235790
"서울시","소계",종사자수 (명),소상공인,소계,1231556
"서울시","소계",종사자수 (명),중소기업,소계,3566087
"서울시","소계",종사자수 (명),중소기업,소기업,2258634
"서울시","소계",종사자수 (명),중소기업,중기업,1307453
"서울시","소계",종사자수 (명),중소기업범위초과,소계,669703
"서울시","종로구",사업체수 (개),소계,소계,37184
"서울시","종로구",사업체수 (개),소상공인,소계,31740
"서울시","종로구",사업체수 (개),중소기업,소계,37066
"서울시","종로구",사업체수 (개),중소기업,소기업,35755
"서울시","종로구",사업체수 (개),중소기업,중기업,1311
"서울시","종로구",사업체수 (개),중소기업범위초과,소계,118
"서울시","종로구",종사자수 (명),소계,소계,198350
"서울시","종로구",종사자수 (명),소상공인,소계,60680
"서울시","종로구",종사자수 (명),중소기업,소계,138357
"서울시","종로구",종사자수 (명),중소기업,소기업,96226
"서울시","종로구",종사자수 (명),중소기업,중기업,42131
"서울시","종로구",종사자수 (명),중소기업범위초과,소계,59993
"서울시","중구",사업체수 (개),소계,소계,57814
"서울시","중구",사업체수 (개),소상공인,소계,50465
"서울시","중구",사업체수 (개),중소기업,소계,57545
"서울시","중구",사업체수 (개),중소기업,소기업,55429
"서울시","중구",사업체수 (개),중소기업,중기업,2116
"서울시","중구",사업체수 (개),중소기업범위초과,소계,269
"서울시","중구",종사자수 (명),소계,소계,324757
"서울시","중구",종사자수 (명),소상공인,소계,108441
"서울시","중구",종사자수 (명),중소기업,소계,240005
"서울시","중구",종사자수 (명),중소기업,소기업,155067
"서울시","중구",종사자수 (명),중소기업,중기업,84938
"서울시","중구",종사자수 (명),중소기업범위초과,소계,84752
"서울시","용산구",사업체수 (개),소계,소계,19002
"서울시","용산구",사업체수 (개),소상공인,소계,15366
"서울시","용산구",사업체수 (개),중소기업,소계,18939
"서울시","용산구",사업체수 (개),중소기업,소기업,17757
"서울시","용산구",사업체수 (개),중소기업,중기업,1182
"서울시","용산구",사업체수 (개),중소기업범위초과,소계,63
"서울시","용산구",종사자수 (명),소계,소계,106133
"서울시","용산구",종사자수 (명),소상공인,소계,29654
"서울시","용산구",종사자수 (명),중소기업,소계,84201
"서울시","용산구",종사자수 (명),중소기업,소기업,50116
"서울시","용산구",종사자수 (명),중소기업,중기업,34085
"서울시","용산구",종사자수 (명),중소기업범위초과,소계,21932
"서울시","성동구",사업체수 (개),소계,소계,26942
"서울시","성동구",사업체수 (개),소상공인,소계,21270
"서울시","성동구",사업체수 (개),중소기업,소계,26912
"서울시","성동구",사업체수 (개),중소기업,소기업,25383
"서울시","성동구",사업체수 (개),중소기업,중기업,1529
"서울시","성동구",사업체수 (개),중소기업범위초과,소계,30
"서울시","성동구",종사자수 (명),소계,소계,148183
"서울시","성동구",종사자수 (명),소상공인,소계,44569
"서울시","성동구",종사자수 (명),중소기업,소계,139071
"서울시","성동구",종사자수 (명),중소기업,소기업,90374
"서울시","성동구",종사자수 (명),중소기업,중기업,48697
"서울시","성동구",종사자수 (명),중소기업범위초과,소계,9112
"서울시","광진구",사업체수 (개),소계,소계,23135
"서울시","광진구",사업체수 (개),소상공인,소계,19513
"서울시","광진구",사업체수 (개),중소기업,소계,23123
"서울시","광진구",사업체수 (개),중소기업,소기업,22399
"서울시","광진구",사업체수 (개),중소기업,중기업,724
"서울시","광진구",사업체수 (개),중소기업범위초과,소계,12
"서울시","광진구",종사자수 (명),소계,소계,96851
"서울시","광진구",종사자수 (명),소상공인,소계,38033
"서울시","광진구",종사자수 (명),중소기업,소계,89124
"서울시","광진구",종사자수 (명),중소기업,소기업,65943
"서울시","광진구",종사자수 (명),중소기업,중기업,23181
"서울시","광진구",종사자수 (명),중소기업범위초과,소계,7727
"서울시","동대문구",사업체수 (개),소계,소계,29704
"서울시","동대문구",사업체수 (개),소상공인,소계,26074
"서울시","동대문구",사업체수 (개),중소기업,소계,29688
"서울시","동대문구",사업체수 (개),중소기업,소기업,28955
"서울시","동대문구",사업체수 (개),중소기업,중기업,733
"서울시","동대문구",사업체수 (개),중소기업범위초과,소계,16
"서울시","동대문구",종사자수 (명),소계,소계,100948
"서울시","동대문구",종사자수 (명),소상공인,소계,50437
"서울시","동대문구",종사자수 (명),중소기업,소계,98204
"서울시","동대문구",종사자수 (명),중소기업,소기업,76632
"서울시","동대문구",종사자수 (명),중소기업,중기업,21572
"서울시","동대문구",종사자수 (명),중소기업범위초과,소계,2744
"서울시","중랑구",사업체수 (개),소계,소계,26755
"서울시","중랑구",사업체수 (개),소상공인,소계,24075
"서울시","중랑구",사업체수 (개),중소기업,소계,26750
"서울시","중랑구",사업체수 (개),중소기업,소기업,26357
"서울시","중랑구",사업체수 (개),중소기업,중기업,393
"서울시","중랑구",사업체수 (개),중소기업범위초과,소계,5
"서울시","중랑구",종사자수 (명),소계,소계,81749
"서울시","중랑구",종사자수 (명),소상공인,소계,44691
"서울시","중랑구",종사자수 (명),중소기업,소계,81207
"서울시","중랑구",종사자수 (명),중소기업,소기업,69354
"서울시","중랑구",종사자수 (명),중소기업,중기업,11853
"서울시","중랑구",종사자수 (명),중소기업범위초과,소계,542
"서울시","성북구",사업체수 (개),소계,소계,21966
"서울시","성북구",사업체수 (개),소상공인,소계,19349
"서울시","성북구",사업체수 (개),중소기업,소계,21963
"서울시","성북구",사업체수 (개),중소기업,소기업,21511
"서울시","성북구",사업체수 (개),중소기업,중기업,452
"서울시","성북구",사업체수 (개),중소기업범위초과,소계,3
"서울시","성북구",종사자수 (명),소계,소계,72179
"서울시","성북구",종사자수 (명),소상공인,소계,35779
"서울시","성북구",종사자수 (명),중소기업,소계,71795
"서울시","성북구",종사자수 (명),중소기업,소기업,55457
"서울시","성북구",종사자수 (명),중소기업,중기업,16338
"서울시","성북구",종사자수 (명),중소기업범위초과,소계,384
"서울시","강북구",사업체수 (개),소계,소계,17777
"서울시","강북구",사업체수 (개),소상공인,소계,15731
"서울시","강북구",사업체수 (개),중소기업,소계,17775
"서울시","강북구",사업체수 (개),중소기업,소기업,17451
"서울시","강북구",사업체수 (개),중소기업,중기업,324
"서울시","강북구",사업체수 (개),중소기업범위초과,소계,2
"서울시","강북구",종사자수 (명),소계,소계,54602
"서울시","강북구",종사자수 (명),소상공인,소계,28503
"서울시","강북구",종사자수 (명),중소기업,소계,54503
"서울시","강북구",종사자수 (명),중소기업,소기업,44864
"서울시","강북구",종사자수 (명),중소기업,중기업,9639
"서울시","강북구",종사자수 (명),중소기업범위초과,소계,X
"서울시","도봉구",사업체수 (개),소계,소계,17426
"서울시","도봉구",사업체수 (개),소상공인,소계,15604
"서울시","도봉구",사업체수 (개),중소기업,소계,17421
"서울시","도봉구",사업체수 (개),중소기업,소기업,17136
"서울시","도봉구",사업체수 (개),중소기업,중기업,285
"서울시","도봉구",사업체수 (개),중소기업범위초과,소계,5
"서울시","도봉구",종사자수 (명),소계,소계,52741
"서울시","도봉구",종사자수 (명),소상공인,소계,26878
"서울시","도봉구",종사자수 (명),중소기업,소계,52235
"서울시","도봉구",종사자수 (명),중소기업,소기업,42755
"서울시","도봉구",종사자수 (명),중소기업,중기업,9480
"서울시","도봉구",종사자수 (명),중소기업범위초과,소계,506
"서울시","노원구",사업체수 (개),소계,소계,24735
"서울시","노원구",사업체수 (개),소상공인,소계,21505
"서울시","노원구",사업체수 (개),중소기업,소계,24731
"서울시","노원구",사업체수 (개),중소기업,소기업,24157
"서울시","노원구",사업체수 (개),중소기업,중기업,574
"서울시","노원구",사업체수 (개),중소기업범위초과,소계,4
"서울시","노원구",종사자수 (명),소계,소계,77629
"서울시","노원구",종사자수 (명),소상공인,소계,36228
"서울시","노원구",종사자수 (명),중소기업,소계,77157
"서울시","노원구",종사자수 (명),중소기업,소기업,61392
"서울시","노원구",종사자수 (명),중소기업,중기업,15765
"서울시","노원구",종사자수 (명),중소기업범위초과,소계,472
"서울시","은평구",사업체수 (개),소계,소계,22975
"서울시","은평구",사업체수 (개),소상공인,소계,20393
"서울시","은평구",사업체수 (개),중소기업,소계,22970
"서울시","은평구",사업체수 (개),중소기업,소기업,22534
"서울시","은평구",사업체수 (개),중소기업,중기업,436
"서울시","은평구",사업체수 (개),중소기업범위초과,소계,5
"서울시","은평구",종사자수 (명),소계,소계,65807
"서울시","은평구",종사자수 (명),소상공인,소계,34378
"서울시","은평구",종사자수 (명),중소기업,소계,65280
"서울시","은평구",종사자수 (명),중소기업,소기업,55082
"서울시","은평구",종사자수 (명),중소기업,중기업,10198
"서울시","은평구",종사자수 (명),중소기업범위초과,소계,527
"서울시","서대문구",사업체수 (개),소계,소계,18608
"서울시","서대문구",사업체수 (개),소상공인,소계,16099
"서울시","서대문구",사업체수 (개),중소기업,소계,18589
"서울시","서대문구",사업체수 (개),중소기업,소기업,18081
"서울시","서대문구",사업체수 (개),중소기업,중기업,508
"서울시","서대문구",사업체수 (개),중소기업범위초과,소계,19
"서울시","서대문구",종사자수 (명),소계,소계,68803
"서울시","서대문구",종사자수 (명),소상공인,소계,28150
"서울시","서대문구",종사자수 (명),중소기업,소계,64426
"서울시","서대문구",종사자수 (명),중소기업,소기업,46863
"서울시","서대문구",종사자수 (명),중소기업,중기업,17563
"서울시","서대문구",종사자수 (명),중소기업범위초과,소계,4377
"서울시","마포구",사업체수 (개),소계,소계,35154
"서울시","마포구",사업체수 (개),소상공인,소계,27803
"서울시","마포구",사업체수 (개),중소기업,소계,35067
"서울시","마포구",사업체수 (개),중소기업,소기업,33256
"서울시","마포구",사업체수 (개),중소기업,중기업,1811
"서울시","마포구",사업체수 (개),중소기업범위초과,소계,87
"서울시","마포구",종사자수 (명),소계,소계,211920
"서울시","마포구",종사자수 (명),소상공인,소계,54999
"서울시","마포구",종사자수 (명),중소기업,소계,185381
"서울시","마포구",종사자수 (명),중소기업,소기업,107120
"서울시","마포구",종사자수 (명),중소기업,중기업,78261
"서울시","마포구",종사자수 (명),중소기업범위초과,소계,26539
"서울시","양천구",사업체수 (개),소계,소계,24257
"서울시","양천구",사업체수 (개),소상공인,소계,20844
"서울시","양천구",사업체수 (개),중소기업,소계,24245
"서울시","양천구",사업체수 (개),중소기업,소기업,23553
"서울시","양천구",사업체수 (개),중소기업,중기업,692
"서울시","양천구",사업체수 (개),중소기업범위초과,소계,12
"서울시","양천구",종사자수 (명),소계,소계,90078
"서울시","양천구",종사자수 (명),소상공인,소계,37796
"서울시","양천구",종사자수 (명),중소기업,소계,87663
"서울시","양천구",종사자수 (명),중소기업,소기업,65573
"서울시","양천구",종사자수 (명),중소기업,중기업,22090
"서울시","양천구",종사자수 (명),중소기업범위초과,소계,2415
"서울시","강서구",사업체수 (개),소계,소계,37101
"서울시","강서구",사업체수 (개),소상공인,소계,30301
"서울시","강서구",사업체수 (개),중소기업,소계,37046
"서울시","강서구",사업체수 (개),중소기업,소기업,35522
"서울시","강서구",사업체수 (개),중소기업,중기업,1524
"서울시","강서구",사업체수 (개),중소기업범위초과,소계,55
"서울시","강서구",종사자수 (명),소계,소계,219054
"서울시","강서구",종사자수 (명),소상공인,소계,56941
"서울시","강서구",종사자수 (명),중소기업,소계,164683
"서울시","강서구",종사자수 (명),중소기업,소기업,113675
"서울시","강서구",종사자수 (명),중소기업,중기업,51008
"서울시","강서구",종사자수 (명),중소기업범위초과,소계,54371
"서울시","구로구",사업체수 (개),소계,소계,36861
"서울시","구로구",사업체수 (개),소상공인,소계,30383
"서울시","구로구",사업체수 (개),중소기업,소계,36815
"서울시","구로구",사업체수 (개),중소기업,소기업,35366
"서울시","구로구",사업체수 (개),중소기업,중기업,1449
"서울시","구로구",사업체수 (개),중소기업범위초과,소계,46
"서울시","구로구",종사자수 (명),소계,소계,192348
"서울시","구로구",종사자수 (명),소상공인,소계,56811
"서울시","구로구",종사자수 (명),중소기업,소계,171461
"서울시","구로구",종사자수 (명),중소기업,소기업,112013
"서울시","구로구",종사자수 (명),중소기업,중기업,59448
"서울시","구로구",종사자수 (명),중소기업범위초과,소계,20887
"서울시","금천구",사업체수 (개),소계,소계,32417
"서울시","금천구",사업체수 (개),소상공인,소계,24920
"서울시","금천구",사업체수 (개),중소기업,소계,32357
"서울시","금천구",사업체수 (개),중소기업,소기업,30578
"서울시","금천구",사업체수 (개),중소기업,중기업,1779
"서울시","금천구",사업체수 (개),중소기업범위초과,소계,60
"서울시","금천구",종사자수 (명),소계,소계,225267
"서울시","금천구",종사자수 (명),소상공인,소계,55019
"서울시","금천구",종사자수 (명),중소기업,소계,201047
"서울시","금천구",종사자수 (명),중소기업,소기업,127049
"서울시","금천구",종사자수 (명),중소기업,중기업,73998
"서울시","금천구",종사자수 (명),중소기업범위초과,소계,24220
"서울시","영등포구",사업체수 (개),소계,소계,39760
"서울시","영등포구",사업체수 (개),소상공인,소계,31577
"서울시","영등포구",사업체수 (개),중소기업,소계,39581
"서울시","영등포구",사업체수 (개),중소기업,소기업,37299
"서울시","영등포구",사업체수 (개),중소기업,중기업,2282
"서울시","영등포구",사업체수 (개),중소기업범위초과,소계,179
"서울시","영등포구",종사자수 (명),소계,소계,304262
"서울시","영등포구",종사자수 (명),소상공인,소계,61208
"서울시","영등포구",종사자수 (명),중소기업,소계,233436
"서울시","영등포구",종사자수 (명),중소기업,소기업,123380
"서울시","영등포구",종사자수 (명),중소기업,중기업,110056
"서울시","영등포구",종사자수 (명),중소기업범위초과,소계,70826
"서울시","동작구",사업체수 (개),소계,소계,18296
"서울시","동작구",사업체수 (개),소상공인,소계,15540
"서울시","동작구",사업체수 (개),중소기업,소계,18279
"서울시","동작구",사업체수 (개),중소기업,소기업,17777
"서울시","동작구",사업체수 (개),중소기업,중기업,502
"서울시","동작구",사업체수 (개),중소기업범위초과,소계,17
"서울시","동작구",종사자수 (명),소계,소계,73301
"서울시","동작구",종사자수 (명),소상공인,소계,28529
"서울시","동작구",종사자수 (명),중소기업,소계,67298
"서울시","동작구",종사자수 (명),중소기업,소기업,49028
"서울시","동작구",종사자수 (명),중소기업,중기업,18270
"서울시","동작구",종사자수 (명),중소기업범위초과,소계,6003
"서울시","관악구",사업체수 (개),소계,소계,23823
"서울시","관악구",사업체수 (개),소상공인,소계,20462
"서울시","관악구",사업체수 (개),중소기업,소계,23818
"서울시","관악구",사업체수 (개),중소기업,소기업,23279
"서울시","관악구",사업체수 (개),중소기업,중기업,539
"서울시","관악구",사업체수 (개),중소기업범위초과,소계,5
"서울시","관악구",종사자수 (명),소계,소계,85109
"서울시","관악구",종사자수 (명),소상공인,소계,37374
"서울시","관악구",종사자수 (명),중소기업,소계,83415
"서울시","관악구",종사자수 (명),중소기업,소기업,63756
"서울시","관악구",종사자수 (명),중소기업,중기업,19659
"서울시","관악구",종사자수 (명),중소기업범위초과,소계,1694
"서울시","서초구",사업체수 (개),소계,소계,43246
"서울시","서초구",사업체수 (개),소상공인,소계,32158
"서울시","서초구",사업체수 (개),중소기업,소계,43072
"서울시","서초구",사업체수 (개),중소기업,소기업,39692
"서울시","서초구",사업체수 (개),중소기업,중기업,3380
"서울시","서초구",사업체수 (개),중소기업범위초과,소계,174
"서울시","서초구",종사자수 (명),소계,소계,371467
"서울시","서초구",종사자수 (명),소상공인,소계,64393
"서울시","서초구",종사자수 (명),중소기업,소계,286015
"서울시","서초구",종사자수 (명),중소기업,소기업,141052
"서울시","서초구",종사자수 (명),중소기업,중기업,144963
"서울시","서초구",종사자수 (명),중소기업범위초과,소계,85452
"서울시","강남구",사업체수 (개),소계,소계,66966
"서울시","강남구",사업체수 (개),소상공인,소계,46066
"서울시","강남구",사업체수 (개),중소기업,소계,66506
"서울시","강남구",사업체수 (개),중소기업,소기업,59692
"서울시","강남구",사업체수 (개),중소기업,중기업,6814
"서울시","강남구",사업체수 (개),중소기업범위초과,소계,460
"서울시","강남구",종사자수 (명),소계,소계,614665
"서울시","강남구",종사자수 (명),소상공인,소계,97418
"서울시","강남구",종사자수 (명),중소기업,소계,491232
"서울시","강남구",종사자수 (명),중소기업,소기업,234352
"서울시","강남구",종사자수 (명),중소기업,중기업,256880
"서울시","강남구",종사자수 (명),중소기업범위초과,소계,123433
"서울시","송파구",사업체수 (개),소계,소계,45946
"서울시","송파구",사업체수 (개),소상공인,소계,36445
"서울시","송파구",사업체수 (개),중소기업,소계,45864
"서울시","송파구",사업체수 (개),중소기업,소기업,43113
"서울시","송파구",사업체수 (개),중소기업,중기업,2751
"서울시","송파구",사업체수 (개),중소기업범위초과,소계,82
"서울시","송파구",종사자수 (명),소계,소계,284825
"서울시","송파구",종사자수 (명),소상공인,소계,71105
"서울시","송파구",종사자수 (명),중소기업,소계,241078
"서울시","송파구",종사자수 (명),중소기업,소기업,137864
"서울시","송파구",종사자수 (명),중소기업,중기업,103214
"서울시","송파구",종사자수 (명),중소기업범위초과,소계,43747
"서울시","강동구",사업체수 (개),소계,소계,27540
"서울시","강동구",사업체수 (개),소상공인,소계,23754
"서울시","강동구",사업체수 (개),중소기업,소계,27515
"서울시","강동구",사업체수 (개),중소기업,소기업,26783
"서울시","강동구",사업체수 (개),중소기업,중기업,732
"서울시","강동구",사업체수 (개),중소기업범위초과,소계,25
"서울시","강동구",종사자수 (명),소계,소계,114762
"서울시","강동구",종사자수 (명),소상공인,소계,43542
"서울시","강동구",종사자수 (명),중소기업,소계,97813
"서울시","강동구",종사자수 (명),중소기업,소기업,73647
"서울시","강동구",종사자수 (명),중소기업,중기업,24166
"서울시","강동구",종사자수 (명),중소기업범위초과,소계,16949
